region,marriages,date
643 Российская Федерация,55509,2006-01-01
643 Российская Федерация,59495,2007-01-01
643 Российская Федерация,58668,2008-01-01
643 Российская Федерация,65507,2009-01-01
643 Российская Федерация,62980,2010-01-01
643 Российская Федерация,57949,2011-01-01
643 Российская Федерация,55008,2012-01-01
643 Российская Федерация,56123,2013-01-01
643 Российская Федерация,59291,2014-01-01
643 Российская Федерация,58050,2015-01-01
643 Российская Федерация,48523,2016-01-01
643 Российская Федерация,50940,2017-01-01
643 Российская Федерация,49005,2018-01-01
643 Российская Федерация,45259,2019-01-01
643 Российская Федерация,41233,2020-01-01
643 Российская Федерация,62449,2006-02-01
643 Российская Федерация,68255,2007-02-01
643 Российская Федерация,68195,2008-02-01
643 Российская Федерация,81024,2009-02-01
643 Российская Федерация,64855,2010-02-01
643 Российская Федерация,68897,2011-02-01
643 Российская Федерация,69384,2012-02-01
643 Российская Федерация,66604,2013-02-01
643 Российская Федерация,77817,2014-02-01
643 Российская Федерация,67918,2015-02-01
643 Российская Федерация,55748,2016-02-01
643 Российская Федерация,63581,2017-02-01
643 Российская Федерация,52972,2018-02-01
643 Российская Федерация,49792,2019-02-01
643 Российская Федерация,65799,2020-02-01
643 Российская Федерация,70798,2006-03-01
643 Российская Федерация,68173,2007-03-01
643 Российская Федерация,85275,2008-03-01
643 Российская Федерация,65250,2009-03-01
643 Российская Федерация,58124,2010-03-01
643 Российская Федерация,73713,2011-03-01
643 Российская Федерация,62912,2012-03-01
643 Российская Федерация,95343,2013-03-01
643 Российская Федерация,70717,2014-03-01
643 Российская Федерация,57537,2015-03-01
643 Российская Федерация,64867,2016-03-01
643 Российская Федерация,59183,2017-03-01
643 Российская Федерация,56637,2018-03-01
643 Российская Федерация,65253,2019-03-01
643 Российская Федерация,49667,2020-03-01
643 Российская Федерация,86055,2006-04-01
643 Российская Федерация,106800,2007-04-01
643 Российская Федерация,70528,2008-04-01
643 Российская Федерация,98242,2009-04-01
643 Российская Федерация,121953,2010-04-01
643 Российская Федерация,93631,2011-04-01
643 Российская Федерация,97401,2012-04-01
643 Российская Федерация,67605,2013-04-01
643 Российская Федерация,93571,2014-04-01
643 Российская Федерация,97256,2015-04-01
643 Российская Федерация,58968,2016-04-01
643 Российская Федерация,84361,2017-04-01
643 Российская Федерация,79258,2018-04-01
643 Российская Федерация,56818,2019-04-01
643 Российская Федерация,33787,2020-04-01
643 Российская Федерация,35960,2006-05-01
643 Российская Федерация,39331,2007-05-01
643 Российская Федерация,52634,2008-05-01
643 Российская Федерация,45622,2009-05-01
643 Российская Федерация,41339,2010-05-01
643 Российская Федерация,46364,2011-05-01
643 Российская Федерация,45128,2012-05-01
643 Российская Федерация,49712,2013-05-01
643 Российская Федерация,53922,2014-05-01
643 Российская Федерация,47687,2015-05-01
643 Российская Федерация,47334,2016-05-01
643 Российская Федерация,40851,2017-05-01
643 Российская Федерация,39756,2018-05-01
643 Российская Федерация,43531,2019-05-01
643 Российская Федерация,15074,2020-05-01
643 Российская Федерация,111409,2006-06-01
643 Российская Федерация,119012,2007-06-01
643 Российская Федерация,119283,2008-06-01
643 Российская Федерация,118230,2009-06-01
643 Российская Федерация,113994,2010-06-01
643 Российская Федерация,132709,2011-06-01
643 Российская Федерация,137667,2012-06-01
643 Российская Федерация,146512,2013-06-01
643 Российская Федерация,128954,2014-06-01
643 Российская Федерация,114524,2015-06-01
643 Российская Федерация,114936,2016-06-01
643 Российская Федерация,111901,2017-06-01
643 Российская Федерация,103451,2018-06-01
643 Российская Федерация,104709,2019-06-01
643 Российская Федерация,68408,2020-06-01
643 Российская Федерация,127475,2006-07-01
643 Российская Федерация,147253,2007-07-01
643 Российская Федерация,125496,2008-07-01
643 Российская Федерация,138227,2009-07-01
643 Российская Федерация,164233,2010-07-01
643 Российская Федерация,162556,2011-07-01
643 Российская Федерация,144355,2012-07-01
643 Российская Федерация,141354,2013-07-01
643 Российская Федерация,139684,2014-07-01
643 Российская Федерация,142572,2015-07-01
643 Российская Федерация,138733,2016-07-01
643 Российская Федерация,150368,2017-07-01
643 Российская Федерация,114416,2018-07-01
643 Российская Федерация,112845,2019-07-01
643 Российская Федерация,94393,2020-07-01
643 Российская Федерация,149120,2006-08-01
643 Российская Федерация,163630,2007-08-01
643 Российская Федерация,192591,2008-08-01
643 Российская Федерация,164684,2009-08-01
643 Российская Федерация,153402,2010-08-01
643 Российская Федерация,157766,2011-08-01
643 Российская Федерация,168085,2012-08-01
643 Российская Федерация,181745,2013-08-01
643 Российская Федерация,176269,2014-08-01
643 Российская Федерация,160667,2015-08-01
643 Российская Федерация,131756,2016-08-01
643 Российская Федерация,138775,2017-08-01
643 Российская Федерация,149966,2018-08-01
643 Российская Федерация,133217,2019-08-01
643 Российская Федерация,116921,2020-08-01
643 Российская Федерация,151116,2006-09-01
643 Российская Федерация,152696,2007-09-01
643 Российская Федерация,129196,2008-09-01
643 Российская Федерация,141188,2009-09-01
643 Российская Федерация,143937,2010-09-01
643 Российская Федерация,168510,2011-09-01
643 Российская Федерация,152328,2012-09-01
643 Российская Федерация,144512,2013-09-01
643 Российская Федерация,134342,2014-09-01
643 Российская Федерация,131936,2015-09-01
643 Российская Федерация,115462,2016-09-01
643 Российская Федерация,125720,2017-09-01
643 Российская Федерация,113178,2018-09-01
643 Российская Федерация,107033,2019-09-01
643 Российская Федерация,95794,2020-09-01
643 Российская Федерация,95192,2006-10-01
643 Российская Федерация,108414,2007-10-01
643 Российская Федерация,107600,2008-10-01
643 Российская Федерация,113820,2009-10-01
643 Российская Федерация,122144,2010-10-01
643 Российская Федерация,121711,2011-10-01
643 Российская Федерация,100937,2012-10-01
643 Российская Федерация,102743,2013-10-01
643 Российская Федерация,106211,2014-10-01
643 Российская Федерация,104838,2015-10-01
643 Российская Федерация,82752,2016-10-01
643 Российская Федерация,80249,2017-10-01
643 Российская Федерация,44413,2018-10-01
643 Российская Федерация,82727,2019-10-01
643 Российская Федерация,81188,2020-10-01
643 Российская Федерация,86480,2006-11-01
643 Российская Федерация,112961,2007-11-01
643 Российская Федерация,92839,2008-11-01
643 Российская Федерация,85295,2009-11-01
643 Российская Федерация,86570,2010-11-01
643 Российская Федерация,118181,2011-11-01
643 Российская Федерация,88892,2012-11-01
643 Российская Федерация,92859,2013-11-01
643 Российская Федерация,83880,2014-11-01
643 Российская Федерация,82151,2015-11-01
643 Российская Федерация,64092,2016-11-01
643 Российская Федерация,70951,2017-11-01
643 Российская Федерация,43870,2018-11-01
643 Российская Федерация,75722,2019-11-01
643 Российская Федерация,54375,2020-11-01
643 Российская Федерация,82101,2006-12-01
643 Российская Федерация,116561,2007-12-01
